id,category,question,answer,keywords,source
CERT-001,Inicio del proceso,¿Cómo se inicia una solicitud de certificación?,El proceso comienza con el registro de la solicitud y la entrega de los antecedentes técnicos y administrativos requeridos para identificar al solicitante y al producto.,inicio|solicitud|registro|certificación,Procedimiento general de certificación
CERT-002,Documentación,¿Qué documentos se deben presentar para solicitar una certificación?,Generalmente se debe presentar la identificación del solicitante, la identificación del producto, la ficha técnica, el manual de uso y los antecedentes técnicos disponibles.,documentos|requisitos|ficha técnica|manual,Guía de requisitos documentales
CERT-003,Documentación,¿Qué ocurre si la documentación está incompleta?,La solicitud queda pendiente de antecedentes hasta que el solicitante entregue la información faltante. La evaluación técnica no debe continuar mientras existan documentos obligatorios pendientes.,documentación incompleta|pendiente|antecedentes,Guía de requisitos documentales
CERT-004,Identificación del producto,¿Qué información debe incluir la identificación del producto?,Debe incluir como mínimo el nombre del producto, marca, modelo, fabricante, país de origen y características técnicas relevantes.,producto|marca|modelo|fabricante,Guía de identificación de productos
CERT-005,Revisión documental,¿En qué consiste la revisión documental?,Consiste en verificar que los antecedentes entregados sean legibles, coherentes, vigentes y suficientes para iniciar la evaluación técnica del producto.,revisión|documentos|validación|antecedentes,Procedimiento de revisión documental
CERT-006,Estados,¿Qué significa que una solicitud esté en revisión documental?,Significa que el equipo responsable está verificando la integridad y coherencia de los antecedentes antes de iniciar la evaluación técnica.,estado|revisión documental|seguimiento,Procedimiento de seguimiento de solicitudes
CERT-007,Estados,¿Cómo puedo consultar el estado de una solicitud?,El estado puede consultarse utilizando el identificador asignado a la solicitud. Los estados posibles incluyen ingresada, en revisión documental, en evaluación técnica, pendiente de antecedentes, finalizada o cerrada.,estado|consulta|seguimiento|solicitud,Procedimiento de seguimiento de solicitudes
CERT-008,Evaluación técnica,¿Qué es la evaluación técnica?,Es la etapa en la que se revisan las características del producto y su documentación para determinar los ensayos y verificaciones aplicables.,evaluación técnica|producto|verificación,Procedimiento de evaluación técnica
CERT-009,Ensayos,¿Cuándo se solicita una muestra del producto?,Se solicita una muestra cuando la evaluación requiere ensayos físicos, eléctricos, mecánicos o funcionales que no pueden realizarse únicamente con documentación.,muestra|ensayo|producto|evaluación,Procedimiento de recepción de muestras
CERT-010,Ensayos,¿Qué información debe acompañar a una muestra?,La muestra debe estar asociada a una solicitud e incluir su identificación, marca, modelo, cantidad entregada y condiciones relevantes de recepción.,muestra|recepción|marca|modelo,Procedimiento de recepción de muestras
